trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
16524,2019,US,US,REALE,NATU1,41.89,249437721.878,2.0,1.0,0.0,0.0,249437721.878,0.0,0.0,0.0,0.0,0.0,0.0,249437721.878,0.0,5954588.729482
2396,2019,US,US,CATTL,RESEA,82.62,248577795.667,4.0,3.0,0.0,0.0,0.0,176443776.227,72134019.44,0.0,0.0,0.0,0.0,0.0,16515432.658,3008687.91657
16438,2019,US,US,REALE,BITUM,41.49,247035738.915,2.0,1.0,0.0,0.0,247035738.915,0.0,0.0,0.0,0.0,0.0,0.0,247035738.915,0.0,5954103.131236
8806,2019,US,US,HEALT,BASIC,0.01,246741265.356,3.0,3.0,246741065.803,199.553,0.0,0.0,0.0,0.0,246741065.803,0.0,199.553,0.0,0.0,24674126535.6
10180,2019,US,US,KEROS,BUSIN,82.94,244689673.994,1.0,1.0,0.0,0.0,244689673.994,0.0,0.0,0.0,0.0,0.0,0.0,244689673.994,0.0,2950201.036822
2899,2019,US,US,CHEM1,PADDY,57.24,243414567.598,1.0,1.0,0.0,0.0,243414567.598,0.0,0.0,0.0,0.0,0.0,0.0,243414567.598,0.0,4252525.639378
16501,2019,US,US,REALE,INTER,40.64,241962509.471,2.0,1.0,0.0,0.0,241962509.471,0.0,0.0,0.0,0.0,0.0,0.0,241962509.471,0.0,5953801.906275
14216,2019,US,US,PAPER,HYDRO,0.0,239666140.26,1.0,1.0,239666140.26,0.0,0.0,0.0,0.0,0.0,239666140.26,0.0,0.0,0.0,0.0,0.0
14464,2019,US,US,PFERT,AIRTR,0.01,236898660.716,1.0,1.0,236898660.716,0.0,0.0,0.0,0.0,0.0,236898660.716,0.0,0.0,0.0,0.0,23689866071.6
2943,2019,US,US,CHEM1,SUPPO,55.38,235491022.86,1.0,1.0,0.0,0.0,235491022.86,0.0,0.0,0.0,0.0,0.0,0.0,235491022.86,0.0,4252275.602384
6960,2019,US,US,FINAN,PAPE2,0.01,235051625.914,1.0,1.0,235051625.914,0.0,0.0,0.0,0.0,0.0,235051625.914,0.0,0.0,0.0,0.0,23505162591.4
8878,2019,US,US,HEALT,RETAI,0.01,234356120.256,3.0,3.0,234355930.72,189.536,0.0,0.0,0.0,0.0,234355930.72,0.0,189.536,0.0,0.0,23435612025.600002
16185,2019,US,US,RAILW,COKE1,0.01,233809712.029,1.0,1.0,233809712.029,0.0,0.0,0.0,0.0,0.0,233809712.029,0.0,0.0,0.0,0.0,23380971202.9
14540,2019,US,US,PFERT,MEAT4,0.01,233189543.349,1.0,1.0,233189543.349,0.0,0.0,0.0,0.0,0.0,233189543.349,0.0,0.0,0.0,0.0,23318954334.9
14526,2019,US,US,PFERT,INERT,0.01,230895679.66,1.0,1.0,230895679.66,0.0,0.0,0.0,0.0,0.0,230895679.66,0.0,0.0,0.0,0.0,23089567966.0
8497,2019,US,US,GASDI,COKE1,0.0,230206224.325,2.0,2.0,230154323.354,0.0,51900.972,0.0,0.0,0.0,230154323.354,0.0,0.0,51900.972,0.0,0.0
15954,2019,US,US,PUBLI,STONE,0.0,227232162.689,1.0,1.0,227232162.689,0.0,0.0,0.0,0.0,0.0,227232162.689,0.0,0.0,0.0,0.0,0.0
8087,2019,US,US,FORES,FURNI,68.12,225783873.085,2.0,2.0,0.0,0.0,0.0,211025821.218,14758051.867,0.0,0.0,0.0,0.0,0.0,211025821.218,3314501.953685
8514,2019,US,US,GASDI,ELEC2,0.0,222365143.291,2.0,2.0,222315010.125,0.0,50133.166,0.0,0.0,0.0,222315010.125,0.0,0.0,50133.166,0.0,0.0
2750,2019,US,US,CEREA,PIGS9,216.09,221758037.409,5.0,4.0,0.0,0.0,0.0,105386874.073,77769124.814,38602038.522,0.0,3962435.864,0.0,0.0,105386874.073,1026229.98477
17833,2019,US,US,SANDC,COLLE,143.87,221522079.772,1.0,1.0,0.0,0.0,0.0,0.0,221522079.772,0.0,0.0,0.0,0.0,0.0,0.0,1539737.817279
17877,2019,US,US,SANDC,NONME,143.78,221381682.265,1.0,1.0,0.0,0.0,0.0,0.0,221381682.265,0.0,0.0,0.0,0.0,0.0,0.0,1539725.151377
5474,2019,US,US,ELEC3,OILSE,11.65,218654801.978,3.0,2.0,0.0,0.0,218319774.474,0.0,0.0,335027.505,0.0,335027.505,0.0,218319774.474,0.0,18768652.5303
5426,2019,US,US,ELEC3,FOOD3,11.53,216330487.237,3.0,2.0,0.0,0.0,215999021.096,0.0,0.0,331466.141,0.0,331466.141,0.0,215999021.096,0.0,18762401.321509
2952,2019,US,US,CHEM1,VEGE1,50.73,215718032.544,1.0,1.0,0.0,0.0,215718032.544,0.0,0.0,0.0,0.0,0.0,0.0,215718032.544,0.0,4252277.400828
12176,2019,US,US,MOTOR,COKEO,0.0,215300127.638,2.0,2.0,215243573.586,0.0,56554.052,0.0,0.0,0.0,215243573.586,0.0,0.0,56554.052,0.0,0.0
12501,2019,US,US,NATUR,FOUND,320.97,214996263.656,1.0,1.0,0.0,0.0,0.0,0.0,214996263.656,0.0,0.0,0.0,0.0,0.0,0.0,669832.892968
2873,2019,US,US,CHEM1,LEATH,50.24,213630420.256,1.0,1.0,0.0,0.0,213630420.256,0.0,0.0,0.0,0.0,0.0,0.0,213630420.256,0.0,4252197.855414
2863,2019,US,US,CHEM1,INERT,49.78,211691631.829,1.0,1.0,0.0,0.0,211691631.829,0.0,0.0,0.0,0.0,0.0,0.0,211691631.829,0.0,4252543.829429
16434,2019,US,US,REALE,BIODI,35.31,210265019.393,2.0,1.0,0.0,0.0,210265019.393,0.0,0.0,0.0,0.0,0.0,0.0,210265019.393,0.0,5954829.209657
5490,2019,US,US,ELEC3,POULT,11.16,209446067.549,3.0,2.0,0.0,0.0,209125149.862,0.0,0.0,320917.687,0.0,320917.687,0.0,209125149.862,0.0,18767568.776792
16441,2019,US,US,REALE,BRICK,34.86,207569570.342,2.0,1.0,0.0,0.0,207569570.342,0.0,0.0,0.0,0.0,0.0,0.0,207569570.342,0.0,5954376.659266
14505,2019,US,US,PFERT,ELEC8,0.0,203619857.437,1.0,1.0,203619857.437,0.0,0.0,0.0,0.0,0.0,203619857.437,0.0,0.0,0.0,0.0,0.0
8054,2019,US,US,FORES,CHEM1,61.06,202392605.66,2.0,2.0,0.0,0.0,0.0,189163491.769,13229113.891,0.0,0.0,0.0,0.0,0.0,189163491.769,3314651.255486
15957,2019,US,US,PUBLI,TEXT1,0.0,202235507.281,1.0,1.0,202235507.281,0.0,0.0,0.0,0.0,0.0,202235507.281,0.0,0.0,0.0,0.0,0.0
13454,2019,US,US,OILSE,BIOGA,288.13,202204412.816,3.0,2.0,0.0,0.0,0.0,136329305.629,0.0,65875107.187,0.0,0.0,0.0,0.0,136329305.629,701781.879068
6863,2019,US,US,FINAN,BKBPE,0.0,201859913.671,1.0,1.0,201859913.671,0.0,0.0,0.0,0.0,0.0,201859913.671,0.0,0.0,0.0,0.0,0.0
12462,2019,US,US,NATUR,CHEM1,300.37,201199908.701,1.0,1.0,0.0,0.0,0.0,0.0,201199908.701,0.0,0.0,0.0,0.0,0.0,0.0,669840.226058
16595,2019,US,US,REALE,WOOD2,33.57,199898563.258,2.0,1.0,0.0,0.0,199898563.258,0.0,0.0,0.0,0.0,0.0,0.0,199898563.258,0.0,5954678.679118
12498,2019,US,US,NATUR,FOOD5,293.08,196311541.79,1.0,1.0,0.0,0.0,0.0,0.0,196311541.79,0.0,0.0,0.0,0.0,0.0,0.0,669822.375427
4646,2019,US,US,EDUCA,LEADZ,0.0,195373997.227,2.0,2.0,195373978.396,18.831,0.0,0.0,0.0,0.0,195373978.396,0.0,18.831,0.0,0.0,0.0
12506,2019,US,US,NATUR,HEALT,289.21,193721144.505,1.0,1.0,0.0,0.0,0.0,0.0,193721144.505,0.0,0.0,0.0,0.0,0.0,0.0,669828.652208
5530,2019,US,US,ELEC3,WEARI,10.29,193178871.754,3.0,2.0,0.0,0.0,192882879.008,0.0,0.0,295992.746,0.0,295992.746,0.0,192882879.008,0.0,18773456.924587
15140,2019,US,US,PLAST,NAPHT,0.0,192408300.886,1.0,1.0,192408300.886,0.0,0.0,0.0,0.0,0.0,192408300.886,0.0,0.0,0.0,0.0,0.0
16554,2019,US,US,REALE,PROCE,32.27,192162713.834,2.0,1.0,0.0,0.0,192162713.834,0.0,0.0,0.0,0.0,0.0,0.0,192162713.834,0.0,5954840.837744
16487,2019,US,US,REALE,FOODW,31.57,187960080.146,2.0,1.0,0.0,0.0,187960080.146,0.0,0.0,0.0,0.0,0.0,0.0,187960080.146,0.0,5953756.102186
4072,2019,US,US,CRUDE,REFI1,0.0,184168680.388,6.0,3.0,184150998.411,0.0,16924.282,0.0,757.694,0.0,184150998.411,0.0,0.0,16924.282,0.0,0.0
5387,2019,US,US,ELEC3,CATTL,9.67,181504051.644,3.0,2.0,0.0,0.0,181225947.303,0.0,0.0,278104.341,0.0,278104.341,0.0,181225947.303,0.0,18769808.85667
4013,2019,US,US,CRUDE,INSUR,0.0,180096658.286,6.0,3.0,180079367.263,0.0,16550.082,0.0,740.941,0.0,180079367.263,0.0,0.0,16550.082,0.0,0.0
14581,2019,US,US,PFERT,REFIN,0.0,179323160.295,1.0,1.0,179323160.295,0.0,0.0,0.0,0.0,0.0,179323160.295,0.0,0.0,0.0,0.0,0.0
5468,2019,US,US,ELEC3,NONF1,9.48,178007398.451,3.0,2.0,0.0,0.0,177734651.756,0.0,0.0,272746.695,0.0,272746.695,0.0,177734651.756,0.0,18777151.735338
14560,2019,US,US,PFERT,PAPE4,0.0,177985732.184,1.0,1.0,177985732.184,0.0,0.0,0.0,0.0,0.0,177985732.184,0.0,0.0,0.0,0.0,0.0
16527,2019,US,US,REALE,NONF1,29.6,176232332.102,2.0,1.0,0.0,0.0,176232332.102,0.0,0.0,0.0,0.0,0.0,0.0,176232332.102,0.0,5953795.003446
16424,2019,US,US,REALE,ADDIT,29.59,176186487.066,2.0,1.0,0.0,0.0,176186487.066,0.0,0.0,0.0,0.0,0.0,0.0,176186487.066,0.0,5954257.758229
15964,2019,US,US,PUBLI,URANI,0.0,174975705.435,1.0,1.0,174975705.435,0.0,0.0,0.0,0.0,0.0,174975705.435,0.0,0.0,0.0,0.0,0.0
13532,2019,US,US,OILSE,PUBLI,247.26,173517399.534,3.0,2.0,0.0,0.0,0.0,116988082.819,0.0,56529316.714,0.0,0.0,0.0,0.0,116988082.819,701760.897573
4580,2019,US,US,EDUCA,ALUM1,0.0,172999330.695,2.0,2.0,172999314.021,16.674,0.0,0.0,0.0,0.0,172999314.021,0.0,16.674,0.0,0.0,0.0
5465,2019,US,US,ELEC3,NATU1,9.16,171882347.153,3.0,2.0,0.0,0.0,171618985.392,0.0,0.0,263361.762,0.0,263361.762,0.0,171618985.392,0.0,18764448.379148
