trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,energy,land,material,water,CO2_total,Water_total,Energy_total,Land_total,impact_intensity
17198,2019,RU,RU,REALE,BITUM,1026.52,108960976355042.95,1.0,1.0,108960976355042.95,0.0,0.0,0.0,0.0,108960976355042.95,0.0,0.0,0.0,106145984837.16144
1080,2019,RU,RU,BASIC,FOOD4,608.88,108449755120548.1,2.0,2.0,108447885275728.66,1869844819.442,0.0,0.0,0.0,108447885275728.66,0.0,1869844819.442,0.0,178113511891.58472
5448,2019,RU,RU,ELEC2,FABRI,352.39,107209047676223.75,5.0,3.0,107202323946753.72,6717288915.58,0.0,0.0,6440554.445,107202323946753.72,6440554.445,6717288915.58,0.0,304234080638.5645
17350,2019,RU,RU,REALE,TRAN2,963.95,102319086110470.3,1.0,1.0,102319086110470.3,0.0,0.0,0.0,0.0,102319086110470.3,0.0,0.0,0.0,106145636299.05109
5426,2019,RU,RU,ELEC2,CONST,322.18,98017608918605.14,5.0,3.0,98011461639994.31,6141390229.574,0.0,0.0,5888381.256,98011461639994.31,5888381.256,6141390229.574,0.0,304232444343.5506
17251,2019,RU,RU,REALE,FURNI,896.61,95171588735120.77,1.0,1.0,95171588735120.77,0.0,0.0,0.0,0.0,95171588735120.77,0.0,0.0,0.0,106146026405.14914
5529,2019,RU,RU,ELEC2,RAWMI,284.25,86476971022164.69,5.0,3.0,86471547526936.03,5418300148.085,0.0,0.0,5195080.566,86471547526936.03,5195080.566,5418300148.085,0.0,304228569998.8204
1043,2019,RU,RU,BASIC,CHEM1,482.18,85882498862672.12,2.0,2.0,85881018112942.44,1480749729.684,0.0,0.0,0.0,85881018112942.44,0.0,1480749729.684,0.0,178112943014.37662
5358,2019,RU,RU,ELEC1,REALE,526.26,85114717743352.7,1.0,1.0,85114717743352.7,0.0,0.0,0.0,0.0,85114717743352.7,0.0,0.0,0.0,161735107633.77933
5434,2019,RU,RU,ELEC2,EDUCA,273.66,83256357687518.28,5.0,3.0,83251136176480.88,5216509434.306,0.0,0.0,5001603.094,83251136176480.88,5001603.094,5216509434.306,0.0,304232835224.43286
3685,2019,RU,RU,CONST,EDUCA,1562.44,82966541917433.48,1.0,1.0,82966541917433.48,0.0,0.0,0.0,0.0,82966541917433.48,0.0,0.0,0.0,53100625891.19165
17183,2019,RU,RU,REALE,93197,759.93,80664060714746.72,1.0,1.0,80664060714746.72,0.0,0.0,0.0,0.0,80664060714746.72,0.0,0.0,0.0,106146698662.70146
20553,2019,RU,RU,TRAN2,CRUDE,1198.14,80062999598545.95,1.0,1.0,80062999598545.95,0.0,0.0,0.0,0.0,80062999598545.95,0.0,0.0,0.0,66822741581.57306
3681,2019,RU,RU,CONST,CRUDE,1507.7,80059813575729.72,1.0,1.0,80059813575729.72,0.0,0.0,0.0,0.0,80059813575729.72,0.0,0.0,0.0,53100625837.85217
3746,2019,RU,RU,CONST,NATUR,1506.73,80008219305842.1,1.0,1.0,80008219305842.1,0.0,0.0,0.0,0.0,80008219305842.1,0.0,0.0,0.0,53100568320.69587
20580,2019,RU,RU,TRAN2,FURNI,1144.32,76466257960428.84,1.0,1.0,76466257960428.84,0.0,0.0,0.0,0.0,76466257960428.84,0.0,0.0,0.0,66822442988.35015
1039,2019,RU,RU,BASIC,CEMEN,422.2,75199141421820.52,2.0,2.0,75197844870022.34,1296551798.183,0.0,0.0,0.0,75197844870022.34,0.0,1296551798.183,0.0,178112604030.8397
22286,2019,RU,RU,WOODW,OFFIC,1617.08,74399046392407.48,1.0,1.0,74399046392407.48,0.0,0.0,0.0,0.0,74399046392407.48,0.0,0.0,0.0,46008265758.28499
3726,2019,RU,RU,CONST,LANDT,1353.17,71854268604375.48,1.0,1.0,71854268604375.48,0.0,0.0,0.0,0.0,71854268604375.48,0.0,0.0,0.0,53100695850.7619
5432,2019,RU,RU,ELEC2,DIST1,235.77,71729366365208.34,5.0,3.0,71724867781693.7,4494274392.417,0.0,0.0,4309122.219,71724867781693.7,4309122.219,4494274392.417,0.0,304234492790.46674
17261,2019,RU,RU,REALE,INSUR,673.7,71510513675671.67,1.0,1.0,71510513675671.67,0.0,0.0,0.0,0.0,71510513675671.67,0.0,0.0,0.0,106145930942.06866
22214,2019,RU,RU,WOODW,CONST,1539.27,70819247795288.4,1.0,1.0,70819247795288.4,0.0,0.0,0.0,0.0,70819247795288.4,0.0,0.0,0.0,46008333687.58464
17222,2019,RU,RU,REALE,DIST1,637.53,67671283308345.19,1.0,1.0,67671283308345.19,0.0,0.0,0.0,0.0,67671283308345.19,0.0,0.0,0.0,106146037532.89287
3790,2019,RU,RU,CONST,RETA1,1272.71,67581618739467.14,1.0,1.0,67581618739467.14,0.0,0.0,0.0,0.0,67581618739467.14,0.0,0.0,0.0,53100563945.806305
5561,2019,RU,RU,ELEC2,WHOLE,219.38,66742136580816.45,5.0,3.0,66737950776722.98,4181794577.734,0.0,0.0,4009515.743,66737950776722.98,4009515.743,4181794577.734,0.0,304230725594.0216
5303,2019,RU,RU,ELEC1,LANDT,411.71,66589314970853.22,1.0,1.0,66589314970853.22,0.0,0.0,0.0,0.0,66589314970853.22,0.0,0.0,0.0,161738395887.52573
3785,2019,RU,RU,CONST,RECRE,1239.42,65814213925440.54,1.0,1.0,65814213925440.54,0.0,0.0,0.0,0.0,65814213925440.54,0.0,0.0,0.0,53100816450.79193
17241,2019,RU,RU,REALE,FISH5,598.75,63554900743680.96,1.0,1.0,63554900743680.96,0.0,0.0,0.0,0.0,63554900743680.96,0.0,0.0,0.0,106145972014.49847
1139,2019,RU,RU,BASIC,PFERT,348.4,62054551844332.42,2.0,2.0,62053481925989.51,1069918342.922,0.0,0.0,0.0,62053481925989.51,0.0,1069918342.922,0.0,178112950184.65106
17224,2019,RU,RU,REALE,EDUCA,576.32,61174392101652.37,1.0,1.0,61174392101652.37,0.0,0.0,0.0,0.0,61174392101652.37,0.0,0.0,0.0,106146571525.63222
17239,2019,RU,RU,REALE,FABRI,559.7,59409774682634.81,1.0,1.0,59409774682634.81,0.0,0.0,0.0,0.0,59409774682634.81,0.0,0.0,0.0,106145747154.9666
3663,2019,RU,RU,CONST,BUSIN,1114.18,59163891643296.76,1.0,1.0,59163891643296.76,0.0,0.0,0.0,0.0,59163891643296.76,0.0,0.0,0.0,53100837964.5091
5554,2019,RU,RU,ELEC2,TRANS,192.49,58560883389008.19,5.0,3.0,58557210680911.55,3669190067.461,0.0,0.0,3518029.177,58557210680911.55,3518029.177,3669190067.461,0.0,304228185303.1752
5418,2019,RU,RU,ELEC2,CHEM1,188.33,57296026228680.266,5.0,3.0,57292432847445.945,3589939191.094,0.0,0.0,3442043.227,57292432847445.945,3442043.227,3589939191.094,0.0,304232072578.3479
5564,2019,RU,RU,ELEC2,WOODW,185.66,56484514723512.83,5.0,3.0,56480972237085.81,3539093135.125,0.0,0.0,3393291.893,56480972237085.81,3393291.893,3539093135.125,0.0,304236317588.67194
17208,2019,RU,RU,REALE,CHEM1,514.71,54634511892689.82,1.0,1.0,54634511892689.82,0.0,0.0,0.0,0.0,54634511892689.82,0.0,0.0,0.0,106146202507.60587
5450,2019,RU,RU,ELEC2,FISH5,177.96,54140134805904.3,5.0,3.0,54136739349757.68,3392203692.715,0.0,0.0,3252453.906,54136739349757.68,3252453.906,3392203692.715,0.0,304226426196.3604
5262,2019,RU,RU,ELEC1,DISTR,323.85,52378830004108.85,1.0,1.0,52378830004108.85,0.0,0.0,0.0,0.0,52378830004108.85,0.0,0.0,0.0,161737934241.49713
5547,2019,RU,RU,ELEC2,SUPPO,171.62,52213513723538.42,5.0,3.0,52210239097482.45,3271489343.305,0.0,0.0,3136712.667,52210239097482.45,3136712.667,3271489343.305,0.0,304239096396.33154
1188,2019,RU,RU,BASIC,WHOLE,288.01,51298630469082.91,2.0,2.0,51297745999788.16,884469294.748,0.0,0.0,0.0,51297745999788.16,0.0,884469294.748,0.0,178114060168.3376
5528,2019,RU,RU,ELEC2,RAILW,167.95,51096938661542.27,5.0,3.0,51093734062679.086,3201529228.464,0.0,0.0,3069634.723,51093734062679.086,3069634.723,3201529228.464,0.0,304238991732.9103
1084,2019,RU,RU,BASIC,FOUND,281.31,50106179077454.055,2.0,2.0,50105315167901.97,863909552.086,0.0,0.0,0.0,50105315167901.97,0.0,863909552.086,0.0,178117305028.09732
5519,2019,RU,RU,ELEC2,POSTT,163.28,49675872974351.55,5.0,3.0,49672757499134.61,3112490952.351,0.0,0.0,2984264.588,49672757499134.61,2984264.588,3112490952.351,0.0,304237340607.2486
3803,2019,RU,RU,CONST,SUPPO,908.73,48254395599360.06,1.0,1.0,48254395599360.06,0.0,0.0,0.0,0.0,48254395599360.06,0.0,0.0,0.0,53100916223.03661
3743,2019,RU,RU,CONST,MOTOR,903.67,47985481751347.31,1.0,1.0,47985481751347.31,0.0,0.0,0.0,0.0,47985481751347.31,0.0,0.0,0.0,53100669217.023155
5412,2019,RU,RU,ELEC2,BUSIN,156.48,47606962404051.625,5.0,3.0,47603976682761.93,2982861314.345,0.0,0.0,2859975.347,47603976682761.93,2859975.347,2982861314.345,0.0,304236722929.7778
5526,2019,RU,RU,ELEC2,PULP5,155.58,47332319384275.055,5.0,3.0,47329350887514.49,2965653284.31,0.0,0.0,2843476.242,47329350887514.49,2843476.242,2965653284.31,0.0,304231388252.18567
5513,2019,RU,RU,ELEC2,PFERT,153.59,46726927519487.47,5.0,3.0,46723996990521.71,2927721858.268,0.0,0.0,2807107.49,46723996990521.71,2807107.49,2927721858.268,0.0,304231574448.1247
5414,2019,RU,RU,ELEC2,CEMEN,153.15,46592984406986.79,5.0,3.0,46590062278405.81,2919329520.08,0.0,0.0,2799060.894,46590062278405.81,2799060.894,2919329520.08,0.0,304231044120.0574
5466,2019,RU,RU,ELEC2,HOTEL,149.57,45503331806838.57,5.0,3.0,45500478016979.55,2851056258.714,0.0,0.0,2733600.31,45500478016979.55,2733600.31,2851056258.714,0.0,304227664684.3523
1173,2019,RU,RU,BASIC,SUPPO,254.36,45305684270700.47,2.0,2.0,45304903129249.94,781141450.533,0.0,0.0,0.0,45304903129249.94,0.0,781141450.533,0.0,178116387288.4906
1033,2019,RU,RU,BASIC,BITUM,251.62,44816598520083.53,2.0,2.0,44815825811242.695,772708840.833,0.0,0.0,0.0,44815825811242.695,0.0,772708840.833,0.0,178112226850.3439
17223,2019,RU,RU,REALE,DISTR,421.71,44763143793989.42,1.0,1.0,44763143793989.42,0.0,0.0,0.0,0.0,44763143793989.42,0.0,0.0,0.0,106146744905.24158
5456,2019,RU,RU,ELEC2,FOOD5,140.25,42668370028354.9,5.0,3.0,42665694036139.54,2673428924.609,0.0,0.0,2563290.75,42665694036139.54,2563290.75,2673428924.609,0.0,304230802341.2114
5493,2019,RU,RU,ELEC2,NATUR,138.83,42234887828057.445,5.0,3.0,42232239022139.4,2646268668.62,0.0,0.0,2537249.425,42232239022139.4,2537249.425,2646268668.62,0.0,304220181719.06244
22348,2019,RU,RU,WOODW,WOODW,899.25,41372797177224.0,1.0,1.0,41372797177224.0,0.0,0.0,0.0,0.0,41372797177224.0,0.0,0.0,0.0,46008114736.974144
1057,2019,RU,RU,BASIC,DIST1,231.16,41173402858834.375,2.0,2.0,41172692964432.59,709894401.779,0.0,0.0,0.0,41172692964432.59,0.0,709894401.779,0.0,178116468501.61954
17283,2019,RU,RU,REALE,MOTOR,387.01,41079934885311.68,1.0,1.0,41079934885311.68,0.0,0.0,0.0,0.0,41079934885311.68,0.0,0.0,0.0,106146959730.5281
5556,2019,RU,RU,ELEC2,VEGET,130.91,39826471969706.91,5.0,3.0,39823974210151.4,2495366991.009,0.0,0.0,2392564.495,39823974210151.4,2392564.495,2495366991.009,0.0,304227881519.41724
3684,2019,RU,RU,CONST,DISTR,747.04,39668308306261.09,1.0,1.0,39668308306261.09,0.0,0.0,0.0,0.0,39668308306261.09,0.0,0.0,0.0,53100648300.30667
5534,2019,RU,RU,ELEC2,RESEA,130.33,39649187089826.56,5.0,3.0,39646700448880.89,2484259031.52,0.0,0.0,2381914.154,39646700448880.89,2381914.154,2484259031.52,0.0,304221492287.47455
5259,2019,RU,RU,ELEC1,CRUDE,241.15,39003513179296.77,1.0,1.0,39003513179296.77,0.0,0.0,0.0,0.0,39003513179296.77,0.0,0.0,0.0,161739635825.4065
5227,2019,RU,RU,ELEC1,ALUM1,238.62,38592837520375.92,1.0,1.0,38592837520375.92,0.0,0.0,0.0,0.0,38592837520375.92,0.0,0.0,0.0,161733457046.24893
5353,2019,RU,RU,ELEC1,PUBLI,237.31,38381933863668.445,1.0,1.0,38381933863668.445,0.0,0.0,0.0,0.0,38381933863668.445,0.0,0.0,0.0,161737532609.9551
17333,2019,RU,RU,REALE,RUBBE,360.5,38265470348578.21,1.0,1.0,38265470348578.21,0.0,0.0,0.0,0.0,38265470348578.21,0.0,0.0,0.0,106145548817.1379
