trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
5065,2019,WM,WM,ELEC6,REALE,248.23,71055048602379.36,4.0,2.0,71052157958157.05,0.0,2890644222.311,0.0,0.0,0.0,71052157958157.05,0.0,0.0,2890644222.311,0.0,286246821908.63055
11262,2019,WM,WM,NATUR,CRUDE,991.07,70713744832306.8,2.0,2.0,70713209826036.16,0.0,0.0,0.0,535006270.638,0.0,70713209826036.16,0.0,0.0,0.0,0.0,71350908444.71812
4440,2019,WM,WM,ELEC2,HEAVY,157.63,69457386851815.68,5.0,3.0,69453414798707.97,0.0,3960013990.468,0.0,0.0,12039117.239,69453414798707.97,12039117.239,0.0,3960013990.468,0.0,440635582387.9698
4382,2019,WM,WM,ELEC2,BASIC,152.07,67009890238411.77,5.0,3.0,67006058150064.766,0.0,3820473456.768,0.0,0.0,11614890.242,67006058150064.766,11614890.242,0.0,3820473456.768,0.0,440651609379.96826
4423,2019,WM,WM,ELEC2,FINAN,150.65,66380102551746.25,5.0,3.0,66376306479008.98,0.0,3784567008.754,0.0,0.0,11505728.522,66376306479008.98,11505728.522,0.0,3784567008.754,0.0,440624643556.2313
4504,2019,WM,WM,ELEC2,RECRE,148.31,65352749191149.484,5.0,3.0,65349011869573.08,0.0,3725993920.051,0.0,0.0,11327656.353,65349011869573.08,11327656.353,0.0,3725993920.051,0.0,440649647300.5831
293,2019,WM,WM,AIRTR,WHEAT,680.87,62761102486215.74,1.0,1.0,62761102486215.74,0.0,0.0,0.0,0.0,0.0,62761102486215.74,0.0,0.0,0.0,0.0,92177805581.41164
11295,2019,WM,WM,NATUR,HYDRO,879.19,62731140178221.17,2.0,2.0,62730665566765.65,0.0,0.0,0.0,474611455.513,0.0,62730665566765.65,0.0,0.0,0.0,0.0,71351061975.47876
4502,2019,WM,WM,ELEC2,RAWMI,136.88,60313344387000.23,5.0,3.0,60309895253396.63,0.0,3438679432.24,0.0,0.0,10454171.357,60309895253396.63,10454171.357,0.0,3438679432.24,0.0,440629342394.80005
5071,2019,WM,WM,ELEC6,RETA1,207.05,59268370424863.46,4.0,2.0,59265959283418.84,0.0,2411141444.616,0.0,0.0,0.0,59265959283418.84,0.0,0.0,2411141444.616,0.0,286251487200.4997
4407,2019,WM,WM,ELEC2,DAIRY,131.38,57893222786876.664,5.0,3.0,57889912052541.43,0.0,3300699645.935,0.0,0.0,10034689.298,57889912052541.43,10034689.298,0.0,3300699645.935,0.0,440654763182.19415
4401,2019,WM,WM,ELEC2,COMPU,131.33,57868442408332.38,5.0,3.0,57865133091110.35,0.0,3299286827.944,0.0,0.0,10030394.09,57865133091110.35,10030394.09,0.0,3299286827.944,0.0,440633841531.50366
4383,2019,WM,WM,ELEC2,BEVER,128.49,56615951869766.01,5.0,3.0,56612714178603.66,0.0,3227877863.679,0.0,0.0,9813298.672,56612714178603.66,9813298.672,0.0,3227877863.679,0.0,440625355045.2643
150,2019,WM,WM,AIRTR,BUSIN,592.62,54626805244141.06,1.0,1.0,54626805244141.06,0.0,0.0,0.0,0.0,0.0,54626805244141.06,0.0,0.0,0.0,0.0,92178470595.223
4412,2019,WM,WM,ELEC2,ELEC2,118.91,52397705903198.68,5.0,3.0,52394709440475.234,0.0,2987380577.501,0.0,0.0,9082145.946,52394709440475.234,9082145.946,0.0,2987380577.501,0.0,440650121126.8916
5002,2019,WM,WM,ELEC6,HEALT,181.63,51990202164076.945,4.0,2.0,51988087111305.07,0.0,2115052771.878,0.0,0.0,0.0,51988087111305.07,0.0,0.0,2115052771.878,0.0,286242372758.22797
5030,2019,WM,WM,ELEC6,NATUR,181.61,51985411362063.41,4.0,2.0,51983296504189.77,0.0,2114857873.634,0.0,0.0,0.0,51983296504189.77,0.0,0.0,2114857873.634,0.0,286247515897.05084
4495,2019,WM,WM,ELEC2,PRINT,117.78,51898869665135.11,5.0,3.0,51895901729313.11,0.0,2958940139.828,0.0,0.0,8995682.17,51895901729313.11,8995682.17,0.0,2958940139.828,0.0,440642466166.8798
4424,2019,WM,WM,ELEC2,FISH5,116.46,51314963102515.234,5.0,3.0,51312028558503.41,0.0,2925649538.758,0.0,0.0,8894473.071,51312028558503.41,8894473.071,0.0,2925649538.758,0.0,440623073179.7633
10665,2019,WM,WM,MEDIC,BUSIN,290.09,49639802815314.69,3.0,2.0,49638049153661.1,0.0,1753661653.588,0.0,0.0,0.0,49638049153661.1,0.0,0.0,1753661653.588,0.0,171118628064.78918
10652,2019,WM,WM,MEDIC,93197,286.77,49070462631088.13,3.0,2.0,49068729082932.02,0.0,1733548156.106,0.0,0.0,0.0,49068729082932.02,0.0,0.0,1733548156.106,0.0,171114351679.35327
184,2019,WM,WM,AIRTR,FINAN,523.89,48291711543677.8,1.0,1.0,48291711543677.8,0.0,0.0,0.0,0.0,0.0,48291711543677.8,0.0,0.0,0.0,0.0,92179105429.91429
4491,2019,WM,WM,ELEC2,PLAST,108.77,47929940123835.56,5.0,3.0,47927199158817.3,0.0,2732657274.562,0.0,0.0,8307743.706,47927199158817.3,8307743.706,0.0,2732657274.562,0.0,440654041774.71326
4445,2019,WM,WM,ELEC2,INSUR,102.37,45106511009688.82,5.0,3.0,45103931507848.125,0.0,2571683484.734,0.0,0.0,7818355.958,45103931507848.125,7818355.958,0.0,2571683484.734,0.0,440622360161.0708
5004,2019,WM,WM,ELEC6,HOTEL,154.07,44101109765372.13,4.0,2.0,44099315654740.33,0.0,1794110631.803,0.0,0.0,0.0,44099315654740.33,0.0,0.0,1794110631.803,0.0,286240733208.1011
4537,2019,WM,WM,ELEC2,WOODW,100.03,44076411783950.195,5.0,3.0,44073891190297.91,0.0,2512953844.441,0.0,0.0,7639807.845,44073891190297.91,7639807.845,0.0,2512953844.441,0.0,440631928261.0236
7496,2019,WM,WM,FURNI,PUBLI,210.33,43799775879261.59,5.0,2.0,43796336074078.57,0.0,3439805183.02,0.0,0.0,0.0,43796336074078.57,0.0,0.0,3439805183.02,0.0,208243122137.88614
