trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,CO2_total,Water_total,Land_total,Employment_people_total,impact_intensity
172,2021,US,US,AIRTR,COMPU,2044.63,410862881902784.7,1.0,1.0,410862881902784.7,0.0,0.0,0.0,0.0,410862881902784.7,0.0,0.0,0.0,200947301909.2866
3135,2021,US,US,CONST,RAILW,3202.01,405151615449035.6,2.0,2.0,405151589911414.6,25537620.968,0.0,0.0,0.0,405151589911414.6,0.0,0.0,25537620967.95,126530402918.49045
4606,2021,US,US,ELEC2,BUSIN,610.6,403375405784526.94,1.0,1.0,403375405784526.94,0.0,0.0,0.0,0.0,403375405784526.94,0.0,0.0,0.0,660621365516.749
6144,2021,US,US,FINAN,COMPU,9481.25,390313859098845.8,1.0,1.0,390313859098845.8,0.0,0.0,0.0,0.0,390313859098845.8,0.0,0.0,0.0,41166919878.58624
4536,2021,US,US,ELEC1,PFERT,459.84,389075513965521.25,2.0,2.0,389075498422419.5,0.0,0.0,0.0,15543101.75,389075498422419.5,15543101.75,0.0,0.0,846110634058.6318
6153,2021,US,US,FINAN,EDUCA,9446.86,388898255145621.06,1.0,1.0,388898255145621.06,0.0,0.0,0.0,0.0,388898255145621.06,0.0,0.0,0.0,41166933260.95878
4618,2021,US,US,ELEC2,CONST,568.18,375356767779358.75,1.0,1.0,375356767779358.75,0.0,0.0,0.0,0.0,375356767779358.75,0.0,0.0,0.0,660630025307.7524
11153,2021,US,US,MOTOR,CRUDE,5243.99,372088231206259.94,1.0,1.0,372088231206259.94,0.0,0.0,0.0,0.0,372088231206259.94,0.0,0.0,0.0,70955175583.14565
4632,2021,US,US,ELEC2,FABRI,562.67,371712045280969.6,1.0,1.0,371712045280969.6,0.0,0.0,0.0,0.0,371712045280969.6,0.0,0.0,0.0,660621759256.704
7953,2021,US,US,HEALT,PUBLI,3821.82,370187154237441.44,2.0,2.0,370187105767581.5,48469859.956,0.0,0.0,0.0,370187105767581.5,0.0,0.0,48469859955.637,96861483334.49545
12989,2021,US,US,PAPER,BUSIN,3162.58,363834500147464.4,1.0,1.0,363834500147464.4,0.0,0.0,0.0,0.0,363834500147464.4,0.0,0.0,0.0,115043572066.9404
3516,2021,US,US,CRUDE,NAPHT,2860.56,362449447326181.44,2.0,2.0,362447868803822.06,0.0,0.0,1578522359.379,0.0,362447868803822.06,0.0,0.0,0.0,126705766467.46841
4639,2021,US,US,ELEC2,FOOD5,538.92,356024788815952.44,1.0,1.0,356024788815952.44,0.0,0.0,0.0,0.0,356024788815952.44,0.0,0.0,0.0,660626417308.6033
3168,2021,US,US,CONST,WHOLE,2802.02,354541095503811.9,2.0,2.0,354541073156286.25,22347525.641,0.0,0.0,0.0,354541073156286.25,0.0,0.0,22347525640.502,126530537078.18355
11172,2021,US,US,MOTOR,FINAN,4912.15,348542727392383.7,1.0,1.0,348542727392383.7,0.0,0.0,0.0,0.0,348542727392383.7,0.0,0.0,0.0,70955228849.36
2521,2021,US,US,CHEM1,REALE,6546.82,345305005647783.44,2.0,2.0,345304859706032.75,0.0,0.0,0.0,145941750.713,345304859706032.75,145941750.713,0.0,0.0,52743928448.89327
3441,2021,US,US,CRUDE,BIODI,2711.68,343586058684395.06,2.0,2.0,343584562314956.5,0.0,0.0,1496369438.566,0.0,343584562314956.5,0.0,0.0,0.0,126705975146.18063
3100,2021,US,US,CONST,MEMBE,2697.08,341262314117235.6,2.0,2.0,341262292606701.56,21510534.072,0.0,0.0,0.0,341262292606701.56,0.0,0.0,21510534072.318,126530289838.3569
11266,2021,US,US,MOTOR,SUPPO,4801.23,340671971699037.3,1.0,1.0,340671971699037.3,0.0,0.0,0.0,0.0,340671971699037.3,0.0,0.0,0.0,70955145181.34673
3073,2021,US,US,CONST,GASDI,2658.84,336424029062825.8,2.0,2.0,336424007857259.75,21205566.043,0.0,0.0,0.0,336424007857259.75,0.0,0.0,21205566042.714,126530377556.68855
