trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
3452,2021,US,US,CRUDE,CEREA,7.71,4254381.727,1.0,1.0,4254381.727,4254381.727,4254381.727,551800.483398
11436,2021,US,US,NATUR,PAPE3,6.14,4097743.181,1.0,1.0,4097743.181,4097743.181,4097743.181,667384.882899
3559,2021,US,US,CRUDE,SALEM,7.24,3994484.196,1.0,1.0,3994484.196,3994484.196,3994484.196,551724.336464
2375,2021,US,US,CEREA,RECRE,9.97,3977691.845,1.0,1.0,3977691.845,3977691.845,3977691.845,398966.082748
3579,2021,US,US,CRUDE,WEARI,7.17,3954205.43,1.0,1.0,3954205.43,3954205.43,3954205.43,551493.086471
11443,2021,US,US,NATUR,PLANT,5.88,3926006.394,1.0,1.0,3926006.394,3926006.394,3926006.394,667688.162245
11476,2021,US,US,NATUR,TEXT2,5.83,3889248.677,1.0,1.0,3889248.677,3889248.677,3889248.677,667109.550086
11414,2021,US,US,NATUR,MACHI,5.7,3799795.554,1.0,1.0,3799795.554,3799795.554,3799795.554,666630.798947
3509,2021,US,US,CRUDE,MEATA,6.76,3731323.148,1.0,1.0,3731323.148,3731323.148,3731323.148,551970.879882
2381,2021,US,US,CEREA,RUBBE,9.05,3613312.074,1.0,1.0,3613312.074,3613312.074,3613312.074,399261.002652
16824,2021,US,US,STONE,FORES,2.75,3474906.752,2.0,1.0,3474906.752,3474906.752,3474906.752,1263602.455273
3545,2021,US,US,CRUDE,PROCE,6.26,3452678.679,1.0,1.0,3452678.679,3452678.679,3452678.679,551546.114856
16836,2021,US,US,STONE,LIQUE,2.69,3409314.411,2.0,1.0,3409314.411,3409314.411,3409314.411,1267403.126766
14228,2021,US,US,PRECI,MOTO1,16.9,3379537.612,1.0,1.0,3379537.612,3379537.612,3379537.612,199972.639763
16201,2021,US,US,SANDC,COLLE,2.09,3373979.2,1.0,1.0,3373979.2,3373979.2,3373979.2,1614344.114833
3557,2021,US,US,CRUDE,RETAI,5.91,3259184.686,1.0,1.0,3259184.686,3259184.686,3259184.686,551469.490017
1693,2021,US,US,BITUM,RESEA,17.96,3216818.052,1.0,1.0,3216818.052,3216818.052,3216818.052,179110.136526
11487,2021,US,US,NATUR,WOOD1,4.81,3209378.701,1.0,1.0,3209378.701,3209378.701,3209378.701,667230.499168
11475,2021,US,US,NATUR,TEXT1,4.76,3178011.913,1.0,1.0,3178011.913,3178011.913,3178011.913,667649.561555
11442,2021,US,US,NATUR,PIGS9,4.74,3164255.094,1.0,1.0,3164255.094,3164255.094,3164255.094,667564.365823
16229,2021,US,US,SANDC,LIQUE,1.93,3121633.829,1.0,1.0,3121633.829,3121633.829,3121633.829,1617426.854404
11480,2021,US,US,NATUR,VEGE1,4.54,3031433.02,1.0,1.0,3031433.02,3031433.02,3031433.02,667716.524229
11472,2021,US,US,NATUR,SUGA1,4.52,3017782.991,1.0,1.0,3017782.991,3017782.991,3017782.991,667651.104204
16276,2021,US,US,SANDC,WASTE,1.86,2997088.967,1.0,1.0,2997088.967,2997088.967,2997088.967,1611338.154301
14232,2021,US,US,PRECI,NONME,14.9,2981252.889,1.0,1.0,2981252.889,2981252.889,2981252.889,200084.08651
1686,2021,US,US,BITUM,PROCE,16.57,2968109.04,1.0,1.0,2968109.04,2968109.04,2968109.04,179125.470127
11413,2021,US,US,NATUR,LUBRI,4.44,2962189.334,1.0,1.0,2962189.334,2962189.334,2962189.334,667159.75991
7273,2021,US,US,FORES,BEVER,13.24,2799588.17,1.0,1.0,2799588.17,2799588.17,2799588.17,211449.257553
16820,2021,US,US,STONE,FOOD3,2.17,2745929.709,2.0,1.0,2745929.709,2745929.709,2745929.709,1265405.395853
3548,2021,US,US,CRUDE,RADIO,4.92,2713327.776,1.0,1.0,2713327.776,2713327.776,2713327.776,551489.385366
11444,2021,US,US,NATUR,PLAS1,4.03,2689624.141,1.0,1.0,2689624.141,2689624.141,2689624.141,667400.531266
7275,2021,US,US,FORES,BIOGA,12.64,2671388.327,1.0,1.0,2671388.327,2671388.327,2671388.327,211344.013212
11465,2021,US,US,NATUR,SALEM,3.97,2647496.789,1.0,1.0,2647496.789,2647496.789,2647496.789,666875.765491
3540,2021,US,US,CRUDE,POSTT,4.76,2628718.99,1.0,1.0,2628718.99,2628718.99,2628718.99,552251.888655
1605,2021,US,US,BITUM,BEVER,14.27,2556769.515,1.0,1.0,2556769.515,2556769.515,2556769.515,179170.9541
11432,2021,US,US,NATUR,OILHA,3.8,2533790.543,1.0,1.0,2533790.543,2533790.543,2533790.543,666786.985
3584,2021,US,US,CRUDE,WOOD2,4.52,2496774.86,1.0,1.0,2496774.86,2496774.86,2496774.86,552383.818584
11383,2021,US,US,NATUR,FINAN,3.51,2343280.958,1.0,1.0,2343280.958,2343280.958,2343280.958,667601.412536
16189,2021,US,US,SANDC,BIODI,1.44,2316109.416,1.0,1.0,2316109.416,2316109.416,2316109.416,1608409.316667
16809,2021,US,US,STONE,CROPS,1.82,2306802.494,2.0,1.0,2306802.494,2306802.494,2306802.494,1267473.897802
11411,2021,US,US,NATUR,LIQUE,3.46,2305127.806,1.0,1.0,2305127.806,2305127.806,2305127.806,666221.909249
1623,2021,US,US,BITUM,DAIRY,12.71,2275995.365,1.0,1.0,2275995.365,2275995.365,2275995.365,179071.232494
3538,2021,US,US,CRUDE,PLAS2,4.12,2272622.888,1.0,1.0,2272622.888,2272622.888,2272622.888,551607.497087
3460,2021,US,US,CRUDE,COPPE,4.06,2242160.304,1.0,1.0,2242160.304,2242160.304,2242160.304,552256.232512
16221,2021,US,US,SANDC,HYDRO,1.36,2192233.474,1.0,1.0,2192233.474,2192233.474,2192233.474,1611936.377941
7352,2021,US,US,FORES,PRINT,10.02,2117802.087,1.0,1.0,2117802.087,2117802.087,2117802.087,211357.493713
1613,2021,US,US,BITUM,CERAM,11.77,2108957.045,1.0,1.0,2108957.045,2108957.045,2108957.045,179180.717502
3512,2021,US,US,CRUDE,MEDIC,3.77,2078074.565,1.0,1.0,2078074.565,2078074.565,2078074.565,551213.412467
1998,2021,US,US,CATTL,CONST,2.32,2066484.526,2.0,1.0,2066484.526,2066484.526,2066484.526,890726.088793
16268,2021,US,US,SANDC,SUBBI,1.25,2017595.53,1.0,1.0,2017595.53,2017595.53,2017595.53,1614076.424
11355,2021,US,US,NATUR,BITUM,3.02,2013236.68,1.0,1.0,2013236.68,2013236.68,2013236.68,666634.662252
3502,2021,US,US,CRUDE,LEATH,3.65,2012532.353,1.0,1.0,2012532.353,2012532.353,2012532.353,551378.726849
11386,2021,US,US,NATUR,FOOD2,2.96,1977470.336,1.0,1.0,1977470.336,1977470.336,1977470.336,668064.302703
16222,2021,US,US,SANDC,INERT,1.2,1934699.417,1.0,1.0,1934699.417,1934699.417,1934699.417,1612249.514167
11434,2021,US,US,NATUR,PADDY,2.86,1905998.307,1.0,1.0,1905998.307,1905998.307,1905998.307,666432.974476
16806,2021,US,US,STONE,COLLE,1.49,1880239.481,2.0,1.0,1880239.481,1880239.481,1880239.481,1261905.691946
16248,2021,US,US,SANDC,PAPE4,1.1,1781378.523,1.0,1.0,1781378.523,1781378.523,1781378.523,1619435.020909
14192,2021,US,US,PRECI,BRICK,8.88,1776644.817,1.0,1.0,1776644.817,1776644.817,1776644.817,200072.614527
3570,2021,US,US,CRUDE,TEXT2,3.18,1752584.804,1.0,1.0,1752584.804,1752584.804,1752584.804,551127.296855
1993,2021,US,US,CATTL,BUSIN,1.96,1747321.54,2.0,1.0,1747321.54,1747321.54,1747321.54,891490.581633
3525,2021,US,US,CRUDE,OILHA,3.11,1718179.352,1.0,1.0,1718179.352,1718179.352,1718179.352,552469.245016
16224,2021,US,US,SANDC,INTER,1.01,1633815.475,1.0,1.0,1633815.475,1633815.475,1633815.475,1617639.084158
11473,2021,US,US,NATUR,SUGAR,2.44,1625064.484,1.0,1.0,1625064.484,1625064.484,1625064.484,666010.034426
11416,2021,US,US,NATUR,MEAT4,2.39,1594548.179,1.0,1.0,1594548.179,1594548.179,1594548.179,667174.970293
11470,2021,US,US,NATUR,STONE,2.36,1577776.393,1.0,1.0,1577776.393,1577776.393,1577776.393,668549.319068
16974,2021,US,US,SUBBI,RUBBE,6.39,1555817.121,1.0,1.0,1555817.121,1555817.121,1555817.121,243476.857746
3580,2021,US,US,CRUDE,WHEAT,2.76,1521339.358,1.0,1.0,1521339.358,1521339.358,1521339.358,551209.912319
3456,2021,US,US,CRUDE,COLLE,2.75,1518134.256,1.0,1.0,1518134.256,1518134.256,1518134.256,552048.820364
2348,2021,US,US,CEREA,MOTOR,3.8,1518028.081,1.0,1.0,1518028.081,1518028.081,1518028.081,399481.073947
11406,2021,US,US,NATUR,KEROS,2.27,1512645.826,1.0,1.0,1512645.826,1512645.826,1512645.826,666363.8
11391,2021,US,US,NATUR,FORES,2.25,1500702.387,1.0,1.0,1500702.387,1500702.387,1500702.387,666978.838667
16213,2021,US,US,SANDC,FOOD4,0.92,1480204.434,1.0,1.0,1480204.434,1480204.434,1480204.434,1608917.863043
16215,2021,US,US,SANDC,FOODW,0.92,1477905.169,1.0,1.0,1477905.169,1477905.169,1477905.169,1606418.661957
11412,2021,US,US,NATUR,LIQUI,2.2,1470038.433,1.0,1.0,1470038.433,1470038.433,1470038.433,668199.287727
16254,2021,US,US,SANDC,PLAS2,0.9,1448400.137,1.0,1.0,1448400.137,1448400.137,1448400.137,1609333.485556
16966,2021,US,US,SUBBI,PROCE,5.93,1443754.294,1.0,1.0,1443754.294,1443754.294,1443754.294,243466.154132
16807,2021,US,US,STONE,COMPU,1.11,1408792.178,2.0,1.0,1408792.178,1408792.178,1408792.178,1269182.142342
3541,2021,US,US,CRUDE,POULT,2.52,1389639.151,1.0,1.0,1389639.151,1389639.151,1389639.151,551444.10754
3583,2021,US,US,CRUDE,WOOD1,2.51,1387167.748,1.0,1.0,1387167.748,1387167.748,1387167.748,552656.473307
16280,2021,US,US,SANDC,WOOD2,0.85,1379393.206,1.0,1.0,1379393.206,1379393.206,1379393.206,1622815.536471
2389,2021,US,US,CEREA,VEGE1,3.45,1376163.402,1.0,1.0,1376163.402,1376163.402,1376163.402,398887.942609
16246,2021,US,US,SANDC,PAPE1,0.82,1324720.273,1.0,1.0,1324720.273,1324720.273,1324720.273,1615512.528049
16885,2021,US,US,STONE,WASTE,1.04,1315606.468,2.0,1.0,1315606.468,1315606.468,1315606.468,1265006.219231
11364,2021,US,US,NATUR,CHEMI,1.96,1308967.259,1.0,1.0,1308967.259,1308967.259,1308967.259,667840.438265
2340,2021,US,US,CEREA,LUBRI,3.27,1303997.718,1.0,1.0,1303997.718,1303997.718,1303997.718,398776.06055
3528,2021,US,US,CRUDE,PAPE1,2.33,1286690.944,1.0,1.0,1286690.944,1286690.944,1286690.944,552227.872961
2020,2021,US,US,CATTL,MEATA,1.42,1264177.311,2.0,1.0,1264177.311,1264177.311,1264177.311,890265.711972
16896,2021,US,US,SUBBI,BEVER,5.06,1232312.304,1.0,1.0,1232312.304,1232312.304,1232312.304,243539.981028
16247,2021,US,US,SANDC,PAPE3,0.76,1227248.13,1.0,1.0,1227248.13,1227248.13,1227248.13,1614800.171053
