industry_id,name,category
KEROS,Kerosene Type Jet Fuel,Other Services
KERO1,Kerosene,Other Services
GASDI,Gas/Diesel Oil,Mining
HEAVY,Heavy Fuel Oil,Other Services
REFIN,Refinery Gas,Mining
LIQUE,Liquefied Petroleum Gases (LPG),Mining
REFI1,Refinery Feedstocks,Other Services
ETHAN,Ethane,Other Services
NAPHT,Naphtha,Other Services
WHITE,White Spirit & SBP,Other Services
LUBRI,Lubricants,Other Services
BITU1,Bitumen,Other Services
PARAF,Paraffin Waxes,Other Services
PETRO,Petroleum Coke,Mining
NONSP,Non-specified Petroleum Products,Mining
NUCLE,Nuclear fuel,Other Services
PLAST,"Plastics, basic",Chemicals
SECO1,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",Chemicals
NFERT,N-fertiliser,Other Services
PFERT,P- and other fertiliser,Other Services
CHEM1,Chemicals nec,Chemicals
CHARC,Charcoal,Mining
ADDIT,Additives/Blending Components,Other Services
BIOGA,Biogasoline,Mining
BIODI,Biodiesels,Other Services
LIQUI,Other Liquid Biofuels,Other Services
RUBBE,Rubber and plastic products (25),Chemicals
GLASS,Glass and glass products,Other Services
SECO2,"Secondary glass for treatment, Re-processing of secondary glass into new glass",Other Services
CERAM,Ceramic goods,Other Services
BRICK,"Bricks, tiles and construction products, in baked clay",Construction
CEMEN,"Cement, lime and plaster",Other Services
ASHFO,"Ash for treatment, Re-processing of ash into clinker",Other Services
NONME,Other non-metallic mineral products,Metals
BASIC,Basic iron and steel and of ferro-alloys and first products thereof,Metals
SECO3,"Secondary steel for treatment, Re-processing of secondary steel into new steel",Metals
PREC1,Precious metals,Metals
SECO4,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",Metals
ALUM1,Aluminium and aluminium products,Other Services
SECO5,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",Other Services
LEAD1,"Lead, zinc and tin and products thereof",Other Services
SECO6,"Secondary lead for treatment, Re-processing of secondary lead into new lead",Other Services
COPP1,Copper products,Other Services
SECO7,"Secondary copper for treatment, Re-processing of secondary copper into new copper",Other Services
NONF1,Other non-ferrous metal products,Metals
SECO8,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",Metals
FOUND,Foundry work services,Other Services
FABRI,"Fabricated metal products, except machinery and equipment (28)",Metals
MACHI,Machinery and equipment n.e.c. (29),Machinery
