trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,material,water,CO2_total,impact_intensity
4647,2022,DE,DE,ELEC1,TEXT1,0.69,91561257301.229,1.0,1.0,91561257301.229,0.0,0.0,91561257301.229,132697474349.60727
4558,2022,DE,DE,ELEC1,FOOD1,0.68,89480987264.579,1.0,1.0,89480987264.579,0.0,0.0,89480987264.579,131589687153.79263
4585,2022,DE,DE,ELEC1,LIQUI,0.65,85857569465.938,1.0,1.0,85857569465.938,0.0,0.0,85857569465.938,132088568409.13539
4515,2022,DE,DE,ELEC1,ANIMA,0.62,81568484620.895,1.0,1.0,81568484620.895,0.0,0.0,81568484620.895,131562071969.18549
4539,2022,DE,DE,ELEC1,CROPS,0.55,73198993898.161,1.0,1.0,73198993898.161,0.0,0.0,73198993898.161,133089079814.83817
4589,2022,DE,DE,ELEC1,MEAT4,0.53,70244037148.301,1.0,1.0,70244037148.301,0.0,0.0,70244037148.301,132535919147.73772
4593,2022,DE,DE,ELEC1,MEDIC,0.46,60899914856.415,1.0,1.0,60899914856.415,0.0,0.0,60899914856.415,132391119253.07608
4645,2022,DE,DE,ELEC1,SUGAR,0.33,43116398976.799,1.0,1.0,43116398976.799,0.0,0.0,43116398976.799,130655754475.14848
4612,2022,DE,DE,ELEC1,PARAF,0.3,39010235653.179,1.0,1.0,39010235653.179,0.0,0.0,39010235653.179,130034118843.93
4632,2022,DE,DE,ELEC1,REFIN,0.27,35060688963.87,1.0,1.0,35060688963.87,0.0,0.0,35060688963.87,129854403569.88889
4603,2022,DE,DE,ELEC1,NONSP,0.22,29287271285.81,1.0,1.0,29287271285.81,0.0,0.0,29287271285.81,133123960390.04546
4654,2022,DE,DE,ELEC1,URANI,0.22,28967365522.6,1.0,1.0,28967365522.6,0.0,0.0,28967365522.6,131669843284.54544
4663,2022,DE,DE,ELEC1,WOOD2,0.21,27457897309.377,1.0,1.0,27457897309.377,0.0,0.0,27457897309.377,130751891949.41429
